Dialogue_Act,Utterance
FEEDBACK_POSITIVE,gut
INFORM,das ist in der Nähe <häs> des Bahnhofs
INFORM,ich schätze mal das ist in der Nähe des <äh> <hm> des Zentrums
INFORM,und es kostet hundert siebenundvierzig Mark die Nacht im Einzelzimmer
BACKCHANNEL,mhm
ACCEPT,ja okay
INFORM,ich schätze mal das ist in der Nähe des <äh> <hm> des Zentrums
INFORM,und es kostet hundert siebenundvierzig Mark die Nacht im Einzelzimmer
BACKCHANNEL,mhm
ACCEPT,ja okay
ACCEPT,dann nehmen wir das am besten ja
INFORM,und es kostet hundert siebenundvierzig Mark die Nacht im Einzelzimmer
BACKCHANNEL,mhm
ACCEPT,ja okay
ACCEPT,dann nehmen wir das am besten ja
FEEDBACK_POSITIVE,gut mhm
BACKCHANNEL,mhm
ACCEPT,ja okay
ACCEPT,dann nehmen wir das am besten ja
FEEDBACK_POSITIVE,gut mhm
INIT,ja abends abends <äh> <häs> haben Sie da irgendwas im Auge
ACCEPT,ja okay
ACCEPT,dann nehmen wir das am besten ja
FEEDBACK_POSITIVE,gut mhm
INIT,ja abends abends <äh> <häs> haben Sie da irgendwas im Auge
REQUEST_COMMENT,kennen Sie sich da aus oder
ACCEPT,dann nehmen wir das am besten ja
FEEDBACK_POSITIVE,gut mhm
INIT,ja abends abends <äh> <häs> haben Sie da irgendwas im Auge
REQUEST_COMMENT,kennen Sie sich da aus oder
INFORM,<ähm> ich kenne mich leider in Hannover nicht aus
SUGGEST,gut das <äh> <äh> das mit der Kneipen-Kultur klingt ausgezeichnet
SUGGEST,ich würde sagen dann <ähm> <häs> schauen wir uns da einfach mal um dann abends hm
ACCEPT,mhm genau
FEEDBACK_POSITIVE,alles klar gut
CONFIRM,also dann sehen wir uns am elften
SUGGEST,ich würde sagen dann <ähm> <häs> schauen wir uns da einfach mal um dann abends hm
ACCEPT,mhm genau
FEEDBACK_POSITIVE,alles klar gut
CONFIRM,also dann sehen wir uns am elften
CONFIRM,um zehn Uhr oder so was am Flughafen
ACCEPT,mhm genau
FEEDBACK_POSITIVE,alles klar gut
CONFIRM,also dann sehen wir uns am elften
CONFIRM,um zehn Uhr oder so was am Flughafen
CLARIFY,zehn Uhr zehn Uhr zwanzig am Flughafen
FEEDBACK_POSITIVE,alles klar gut
CONFIRM,also dann sehen wir uns am elften
CONFIRM,um zehn Uhr oder so was am Flughafen
CLARIFY,zehn Uhr zehn Uhr zwanzig am Flughafen
SUGGEST,also Sie Sie sollten eine Stunde früher da sein sonst <äh> wird das ein bißchen knapp
CONFIRM,also dann sehen wir uns am elften
CONFIRM,um zehn Uhr oder so was am Flughafen
CLARIFY,zehn Uhr zehn Uhr zwanzig am Flughafen
SUGGEST,also Sie Sie sollten eine Stunde früher da sein sonst <äh> wird das ein bißchen knapp
FEEDBACK_POSITIVE,alles klar
CONFIRM,um zehn Uhr oder so was am Flughafen
CLARIFY,zehn Uhr zehn Uhr zwanzig am Flughafen
SUGGEST,also Sie Sie sollten eine Stunde früher da sein sonst <äh> wird das ein bißchen knapp
FEEDBACK_POSITIVE,alles klar
ACCEPT,ja ja
CLARIFY,zehn Uhr zehn Uhr zwanzig am Flughafen
SUGGEST,also Sie Sie sollten eine Stunde früher da sein sonst <äh> wird das ein bißchen knapp
FEEDBACK_POSITIVE,alles klar
ACCEPT,ja ja
FEEDBACK_POSITIVE,alles klar
SUGGEST,also Sie Sie sollten eine Stunde früher da sein sonst <äh> wird das ein bißchen knapp
FEEDBACK_POSITIVE,alles klar
ACCEPT,ja ja
FEEDBACK_POSITIVE,alles klar
BYE,tschüß
FEEDBACK_POSITIVE,alles klar
ACCEPT,ja ja
FEEDBACK_POSITIVE,alles klar
BYE,tschüß
BYE,tschüß
GREET,guten Tag Frau Schwill
INIT,ja es geht um den Termin um unsere gemeinsame Geschäftsreise nach Hannover
FEEDBACK_POSITIVE,ja
REQUEST,<ähm> wie sieht es denn in Ihrem Terminkalender aus
REQUEST_SUGGEST,wann können wir das denn machen
INIT,ja es geht um den Termin um unsere gemeinsame Geschäftsreise nach Hannover
FEEDBACK_POSITIVE,ja
REQUEST,<ähm> wie sieht es denn in Ihrem Terminkalender aus
REQUEST_SUGGEST,wann können wir das denn machen
SUGGEST,<ähm> also mir wäre es ganz recht das im Juli zu machen
FEEDBACK_POSITIVE,ja
REQUEST,<ähm> wie sieht es denn in Ihrem Terminkalender aus
REQUEST_SUGGEST,wann können wir das denn machen
SUGGEST,<ähm> also mir wäre es ganz recht das im Juli zu machen
ACCEPT,ja
REQUEST,<ähm> wie sieht es denn in Ihrem Terminkalender aus
REQUEST_SUGGEST,wann können wir das denn machen
SUGGEST,<ähm> also mir wäre es ganz recht das im Juli zu machen
ACCEPT,ja
SUGGEST,vielleicht <äh> dreißigste Woche oder einunddreißigste Woche
REQUEST_SUGGEST,wann können wir das denn machen
SUGGEST,<ähm> also mir wäre es ganz recht das im Juli zu machen
ACCEPT,ja
SUGGEST,vielleicht <äh> dreißigste Woche oder einunddreißigste Woche
REJECT,ja einunddreißigste Woche ist nicht so gut
SUGGEST,<ähm> also mir wäre es ganz recht das im Juli zu machen
ACCEPT,ja
SUGGEST,vielleicht <äh> dreißigste Woche oder einunddreißigste Woche
REJECT,ja einunddreißigste Woche ist nicht so gut
GIVE_REASON,da habe ich nämlich schon Urlaub
ACCEPT,ja
SUGGEST,vielleicht <äh> dreißigste Woche oder einunddreißigste Woche
REJECT,ja einunddreißigste Woche ist nicht so gut
GIVE_REASON,da habe ich nämlich schon Urlaub
SUGGEST,aber in der neunundzwanzigsten Woche ab Dienstag
SUGGEST,vielleicht <äh> dreißigste Woche oder einunddreißigste Woche
REJECT,ja einunddreißigste Woche ist nicht so gut
GIVE_REASON,da habe ich nämlich schon Urlaub
SUGGEST,aber in der neunundzwanzigsten Woche ab Dienstag
SUGGEST,und auch in der dreißigsten Woche klappt das ganz gut
REJECT,ja einunddreißigste Woche ist nicht so gut
GIVE_REASON,da habe ich nämlich schon Urlaub
SUGGEST,aber in der neunundzwanzigsten Woche ab Dienstag
SUGGEST,und auch in der dreißigsten Woche klappt das ganz gut
SUGGEST,wir könnten natürlich auch neunundzwanzigste Woche zweite Wochenhälfte nehmen
GIVE_REASON,da habe ich nämlich schon Urlaub
SUGGEST,aber in der neunundzwanzigsten Woche ab Dienstag
SUGGEST,und auch in der dreißigsten Woche klappt das ganz gut
SUGGEST,wir könnten natürlich auch neunundzwanzigste Woche zweite Wochenhälfte nehmen
FEEDBACK_POSITIVE,das können wir machen
SUGGEST,aber in der neunundzwanzigsten Woche ab Dienstag
SUGGEST,und auch in der dreißigsten Woche klappt das ganz gut
SUGGEST,wir könnten natürlich auch neunundzwanzigste Woche zweite Wochenhälfte nehmen
FEEDBACK_POSITIVE,das können wir machen
SUGGEST,wäre Ihnen Dienstag der vierzehnte Juli recht
SUGGEST,und auch in der dreißigsten Woche klappt das ganz gut
SUGGEST,wir könnten natürlich auch neunundzwanzigste Woche zweite Wochenhälfte nehmen
FEEDBACK_POSITIVE,das können wir machen
SUGGEST,wäre Ihnen Dienstag der vierzehnte Juli recht
ACCEPT,das würde mir auch gut passen
SUGGEST,wir könnten natürlich auch neunundzwanzigste Woche zweite Wochenhälfte nehmen
FEEDBACK_POSITIVE,das können wir machen
SUGGEST,wäre Ihnen Dienstag der vierzehnte Juli recht
ACCEPT,das würde mir auch gut passen
REJECT,das geht noch nicht
FEEDBACK_POSITIVE,das können wir machen
SUGGEST,wäre Ihnen Dienstag der vierzehnte Juli recht
ACCEPT,das würde mir auch gut passen
REJECT,das geht noch nicht
GIVE_REASON,da habe ich noch eine Dienstbesprechung
SUGGEST,wäre Ihnen Dienstag der vierzehnte Juli recht
ACCEPT,das würde mir auch gut passen
REJECT,das geht noch nicht
GIVE_REASON,da habe ich noch eine Dienstbesprechung
SUGGEST,aber ab Mittwoch vielleicht Mittwoch bis Freitag
ACCEPT,das würde mir auch gut passen
REJECT,das geht noch nicht
GIVE_REASON,da habe ich noch eine Dienstbesprechung
SUGGEST,aber ab Mittwoch vielleicht Mittwoch bis Freitag
EXPLAINED_REJECT,ja das würde dann vielleicht ein bißchen knapp
REJECT,das geht noch nicht
GIVE_REASON,da habe ich noch eine Dienstbesprechung
SUGGEST,aber ab Mittwoch vielleicht Mittwoch bis Freitag
EXPLAINED_REJECT,ja das würde dann vielleicht ein bißchen knapp
SUGGEST,<hm> sollen wir vielleicht doch lieber die dreißigste Woche in Augenschein nehmen
GIVE_REASON,da habe ich noch eine Dienstbesprechung
SUGGEST,aber ab Mittwoch vielleicht Mittwoch bis Freitag
EXPLAINED_REJECT,ja das würde dann vielleicht ein bißchen knapp
SUGGEST,<hm> sollen wir vielleicht doch lieber die dreißigste Woche in Augenschein nehmen
SUGGEST,gut dann würde ich sagen Montag zwanzigster Juli
SUGGEST,aber ab Mittwoch vielleicht Mittwoch bis Freitag
EXPLAINED_REJECT,ja das würde dann vielleicht ein bißchen knapp
SUGGEST,<hm> sollen wir vielleicht doch lieber die dreißigste Woche in Augenschein nehmen
SUGGEST,gut dann würde ich sagen Montag zwanzigster Juli
FEEDBACK_POSITIVE,ja gut
EXPLAINED_REJECT,ja das würde dann vielleicht ein bißchen knapp
SUGGEST,<hm> sollen wir vielleicht doch lieber die dreißigste Woche in Augenschein nehmen
SUGGEST,gut dann würde ich sagen Montag zwanzigster Juli
FEEDBACK_POSITIVE,ja gut
ACCEPT,ja
SUGGEST,<hm> sollen wir vielleicht doch lieber die dreißigste Woche in Augenschein nehmen
SUGGEST,gut dann würde ich sagen Montag zwanzigster Juli
FEEDBACK_POSITIVE,ja gut
ACCEPT,ja
ACCEPT,ja gut
SUGGEST,gut dann würde ich sagen Montag zwanzigster Juli
FEEDBACK_POSITIVE,ja gut
ACCEPT,ja
ACCEPT,ja gut
INIT,<ähm> bezüglich der Unterkunft habe ich schon ein paar Informationen eingeholt
FEEDBACK_POSITIVE,ja gut
ACCEPT,ja
ACCEPT,ja gut
INIT,<ähm> bezüglich der Unterkunft habe ich schon ein paar Informationen eingeholt
INFORM,<ähm> zwei Hotels das Hotel Schweizerhof und Hotel holi Luisenhof liegen relativ zentral
REQUEST_SUGGEST,<ähm> was wäre Ihnen lieb
INFORM,mir ist es an sich relativ egal
SUGGEST,sollen wir vielleicht einfach das am Flughafen nehmen und dann auch direkt fliegen
ACCEPT,das ist eine gute Idee
ACCEPT,das können wir gerne machen
REQUEST_SUGGEST,wissen Sie da genaueres zum Kulturangebot
FEEDBACK_NEGATIVE,<hm> noch nicht genau
SUGGEST,ich habe gehört es soll eine Reihe von Klavierkonzerten zur Zei zu dieser Zeit dort gegeben werden
SUGGEST,da können wir ja vielleicht was können wir Karten besorgen
NOT_CLASSIFIABLE,ich meine <ähm>
FEEDBACK_NEGATIVE,<hm> noch nicht genau
SUGGEST,ich habe gehört es soll eine Reihe von Klavierkonzerten zur Zei zu dieser Zeit dort gegeben werden
SUGGEST,da können wir ja vielleicht was können wir Karten besorgen
NOT_CLASSIFIABLE,ich meine <ähm>
REQUEST_COMMENT,wenn Sie das interessiert
SUGGEST,ich habe gehört es soll eine Reihe von Klavierkonzerten zur Zei zu dieser Zeit dort gegeben werden
SUGGEST,da können wir ja vielleicht was können wir Karten besorgen
NOT_CLASSIFIABLE,ich meine <ähm>
REQUEST_COMMENT,wenn Sie das interessiert
SUGGEST,ich meine es gibt auch in der Zeit eine Premiere im Theater
SUGGEST,da können wir ja vielleicht was können wir Karten besorgen
NOT_CLASSIFIABLE,ich meine <ähm>
REQUEST_COMMENT,wenn Sie das interessiert
SUGGEST,ich meine es gibt auch in der Zeit eine Premiere im Theater
REQUEST_CLARIFY,welches Stück wird gegeben
NOT_CLASSIFIABLE,ich meine <ähm>
REQUEST_COMMENT,wenn Sie das interessiert
SUGGEST,ich meine es gibt auch in der Zeit eine Premiere im Theater
REQUEST_CLARIFY,welches Stück wird gegeben
NOT_CLASSIFIABLE,denn
REQUEST_COMMENT,wenn Sie das interessiert
SUGGEST,ich meine es gibt auch in der Zeit eine Premiere im Theater
REQUEST_CLARIFY,welches Stück wird gegeben
NOT_CLASSIFIABLE,denn
CLARIFY,Die-Physiker von Dürrenmatt
SUGGEST,ich meine es gibt auch in der Zeit eine Premiere im Theater
REQUEST_CLARIFY,welches Stück wird gegeben
NOT_CLASSIFIABLE,denn
CLARIFY,Die-Physiker von Dürrenmatt
NOT_CLASSIFIABLE,da würde ich gerne ein
REQUEST_CLARIFY,welches Stück wird gegeben
NOT_CLASSIFIABLE,denn
CLARIFY,Die-Physiker von Dürrenmatt
NOT_CLASSIFIABLE,da würde ich gerne ein
BACKCHANNEL,oh
NOT_CLASSIFIABLE,denn
CLARIFY,Die-Physiker von Dürrenmatt
NOT_CLASSIFIABLE,da würde ich gerne ein
BACKCHANNEL,oh
OFFER,würde ich gerne Karten besorgen
CLARIFY,Die-Physiker von Dürrenmatt
NOT_CLASSIFIABLE,da würde ich gerne ein
BACKCHANNEL,oh
OFFER,würde ich gerne Karten besorgen
ACCEPT,ja das können wir gerne machen
NOT_CLASSIFIABLE,da würde ich gerne ein
BACKCHANNEL,oh
OFFER,würde ich gerne Karten besorgen
ACCEPT,ja das können wir gerne machen
REQUEST_COMMENT,ja
BACKCHANNEL,oh
OFFER,würde ich gerne Karten besorgen
ACCEPT,ja das können wir gerne machen
REQUEST_COMMENT,ja
FEEDBACK_POSITIVE,ja schöne Idee
OFFER,würde ich gerne Karten besorgen
ACCEPT,ja das können wir gerne machen
REQUEST_COMMENT,ja
FEEDBACK_POSITIVE,ja schöne Idee
FEEDBACK_POSITIVE,gut
ACCEPT,ja das können wir gerne machen
REQUEST_COMMENT,ja
FEEDBACK_POSITIVE,ja schöne Idee
FEEDBACK_POSITIVE,gut
COMMIT,dann werde ich die Karten besorgen
REQUEST_COMMENT,ja
FEEDBACK_POSITIVE,ja schöne Idee
FEEDBACK_POSITIVE,gut
COMMIT,dann werde ich die Karten besorgen
FEEDBACK_POSITIVE,gut
FEEDBACK_POSITIVE,ja schöne Idee
FEEDBACK_POSITIVE,gut
COMMIT,dann werde ich die Karten besorgen
FEEDBACK_POSITIVE,gut
COMMIT,ich buche die Zimmer im Flughafenhotel <ähm>
FEEDBACK_POSITIVE,gut
COMMIT,dann werde ich die Karten besorgen
FEEDBACK_POSITIVE,gut
COMMIT,ich buche die Zimmer im Flughafenhotel <ähm>
INIT,der Flug <ähm>
COMMIT,dann werde ich die Karten besorgen
FEEDBACK_POSITIVE,gut
COMMIT,ich buche die Zimmer im Flughafenhotel <ähm>
INIT,der Flug <ähm>
FEEDBACK_POSITIVE,entsprechend fliegen wir genau
FEEDBACK_POSITIVE,gut
COMMIT,ich buche die Zimmer im Flughafenhotel <ähm>
INIT,der Flug <ähm>
FEEDBACK_POSITIVE,entsprechend fliegen wir genau
FEEDBACK_POSITIVE,genau
COMMIT,ich buche die Zimmer im Flughafenhotel <ähm>
INIT,der Flug <ähm>
FEEDBACK_POSITIVE,entsprechend fliegen wir genau
FEEDBACK_POSITIVE,genau
SUGGEST,der Flug <äh> der geht ab sieben Uhr zehn aus Bonn
INIT,der Flug <ähm>
FEEDBACK_POSITIVE,entsprechend fliegen wir genau
FEEDBACK_POSITIVE,genau
SUGGEST,der Flug <äh> der geht ab sieben Uhr zehn aus Bonn
BACKCHANNEL,mhm
FEEDBACK_POSITIVE,entsprechend fliegen wir genau
FEEDBACK_POSITIVE,genau
SUGGEST,der Flug <äh> der geht ab sieben Uhr zehn aus Bonn
BACKCHANNEL,mhm
INFORM,kommt eine Stunde später an
FEEDBACK_POSITIVE,genau
SUGGEST,der Flug <äh> der geht ab sieben Uhr zehn aus Bonn
BACKCHANNEL,mhm
INFORM,kommt eine Stunde später an
FEEDBACK_POSITIVE,ja
SUGGEST,der Flug <äh> der geht ab sieben Uhr zehn aus Bonn
BACKCHANNEL,mhm
INFORM,kommt eine Stunde später an
FEEDBACK_POSITIVE,ja
COMMIT,dann würde ich den schon mal für den Montag buchen
BACKCHANNEL,mhm
INFORM,kommt eine Stunde später an
FEEDBACK_POSITIVE,ja
COMMIT,dann würde ich den schon mal für den Montag buchen
FEEDBACK_POSITIVE,ja
INFORM,kommt eine Stunde später an
FEEDBACK_POSITIVE,ja
COMMIT,dann würde ich den schon mal für den Montag buchen
FEEDBACK_POSITIVE,ja
INFORM,und der Rückflug <äh> da gibt es jetzt zwei Möglichkeiten
FEEDBACK_POSITIVE,ja
COMMIT,dann würde ich den schon mal für den Montag buchen
FEEDBACK_POSITIVE,ja
INFORM,und der Rückflug <äh> da gibt es jetzt zwei Möglichkeiten
SUGGEST,entweder achtzehn Uhr fünfundzwanzig ab Hannover oder fünfzehn Uhr fünfunddreißig
COMMIT,dann würde ich den schon mal für den Montag buchen
FEEDBACK_POSITIVE,ja
INFORM,und der Rückflug <äh> da gibt es jetzt zwei Möglichkeiten
SUGGEST,entweder achtzehn Uhr fünfundzwanzig ab Hannover oder fünfzehn Uhr fünfunddreißig
BACKCHANNEL,ja
FEEDBACK_POSITIVE,ja
INFORM,und der Rückflug <äh> da gibt es jetzt zwei Möglichkeiten
SUGGEST,entweder achtzehn Uhr fünfundzwanzig ab Hannover oder fünfzehn Uhr fünfunddreißig
BACKCHANNEL,ja
INFORM,kommt dann auch eine Stunde später jeweils an
INFORM,und der Rückflug <äh> da gibt es jetzt zwei Möglichkeiten
SUGGEST,entweder achtzehn Uhr fünfundzwanzig ab Hannover oder fünfzehn Uhr fünfunddreißig
BACKCHANNEL,ja
INFORM,kommt dann auch eine Stunde später jeweils an
NOT_CLASSIFIABLE,<ähm> ach so und
SUGGEST,entweder achtzehn Uhr fünfundzwanzig ab Hannover oder fünfzehn Uhr fünfunddreißig
BACKCHANNEL,ja
INFORM,kommt dann auch eine Stunde später jeweils an
NOT_CLASSIFIABLE,<ähm> ach so und
REQUEST_COMMENT,können wir uns da festlegen
BACKCHANNEL,ja
INFORM,kommt dann auch eine Stunde später jeweils an
NOT_CLASSIFIABLE,<ähm> ach so und
REQUEST_COMMENT,können wir uns da festlegen
INFORM,der <häs> der eine Flug ist Montag bis Donnerstag das andere Freitag
INFORM,kommt dann auch eine Stunde später jeweils an
NOT_CLASSIFIABLE,<ähm> ach so und
REQUEST_COMMENT,können wir uns da festlegen
INFORM,der <häs> der eine Flug ist Montag bis Donnerstag das andere Freitag
INFORM,das fällt schon mal weg
NOT_CLASSIFIABLE,<ähm> ach so und
REQUEST_COMMENT,können wir uns da festlegen
INFORM,der <häs> der eine Flug ist Montag bis Donnerstag das andere Freitag
INFORM,das fällt schon mal weg
NOT_CLASSIFIABLE,das spiel
REQUEST_COMMENT,können wir uns da festlegen
INFORM,der <häs> der eine Flug ist Montag bis Donnerstag das andere Freitag
INFORM,das fällt schon mal weg
NOT_CLASSIFIABLE,das spiel
FEEDBACK_POSITIVE,ja gut
INFORM,der <häs> der eine Flug ist Montag bis Donnerstag das andere Freitag
INFORM,das fällt schon mal weg
NOT_CLASSIFIABLE,das spiel
FEEDBACK_POSITIVE,ja gut
DELIBERATE,dann <ähm> würde ich sagen
INFORM,das fällt schon mal weg
NOT_CLASSIFIABLE,das spiel
FEEDBACK_POSITIVE,ja gut
DELIBERATE,dann <ähm> würde ich sagen
SUGGEST,ja dann buchen wir den Rückflug mit für den dreiundzwanzigsten
NOT_CLASSIFIABLE,das spiel
FEEDBACK_POSITIVE,ja gut
DELIBERATE,dann <ähm> würde ich sagen
SUGGEST,ja dann buchen wir den Rückflug mit für den dreiundzwanzigsten
DELIBERATE,am dreiundzwanzigsten
FEEDBACK_POSITIVE,ja gut
DELIBERATE,dann <ähm> würde ich sagen
SUGGEST,ja dann buchen wir den Rückflug mit für den dreiundzwanzigsten
DELIBERATE,am dreiundzwanzigsten
COMMIT,gut dann werde ich mich darum kümmern
DELIBERATE,dann <ähm> würde ich sagen
SUGGEST,ja dann buchen wir den Rückflug mit für den dreiundzwanzigsten
DELIBERATE,am dreiundzwanzigsten
COMMIT,gut dann werde ich mich darum kümmern
FEEDBACK_POSITIVE,ja prima
SUGGEST,ja dann buchen wir den Rückflug mit für den dreiundzwanzigsten
DELIBERATE,am dreiundzwanzigsten
COMMIT,gut dann werde ich mich darum kümmern
FEEDBACK_POSITIVE,ja prima
CLOSE,ja dann haben wir das Programm für diese Reise festgelegt
DELIBERATE,am dreiundzwanzigsten
COMMIT,gut dann werde ich mich darum kümmern
FEEDBACK_POSITIVE,ja prima
CLOSE,ja dann haben wir das Programm für diese Reise festgelegt
CLOSE,ja ich würde sagen das war es
COMMIT,gut dann werde ich mich darum kümmern
FEEDBACK_POSITIVE,ja prima
CLOSE,ja dann haben wir das Programm für diese Reise festgelegt
CLOSE,ja ich würde sagen das war es
FEEDBACK_POSITIVE,gut
FEEDBACK_POSITIVE,ja prima
CLOSE,ja dann haben wir das Programm für diese Reise festgelegt
CLOSE,ja ich würde sagen das war es
FEEDBACK_POSITIVE,gut
NOT_CLASSIFIABLE,dann
CLOSE,ja dann haben wir das Programm für diese Reise festgelegt
CLOSE,ja ich würde sagen das war es
FEEDBACK_POSITIVE,gut
NOT_CLASSIFIABLE,dann
FEEDBACK_POSITIVE,ja
CLOSE,ja ich würde sagen das war es
FEEDBACK_POSITIVE,gut
NOT_CLASSIFIABLE,dann
FEEDBACK_POSITIVE,ja
BYE,Wiedersehen Frau Lotz
FEEDBACK_POSITIVE,gut
NOT_CLASSIFIABLE,dann
FEEDBACK_POSITIVE,ja
BYE,Wiedersehen Frau Lotz
BYE,Wiedersehen
GREET,grüß Gott Herr Sauer
INIT,ja wir wollten eine Geschäftsreise vereinbaren über eineinhalb Tage
REQUEST_CLARIFY,ach das war die nach Hannover richtig
FEEDBACK_POSITIVE,genau
CLARIFY,zwischen Juni und August
INIT,ja wir wollten eine Geschäftsreise vereinbaren über eineinhalb Tage
REQUEST_CLARIFY,ach das war die nach Hannover richtig
FEEDBACK_POSITIVE,genau
CLARIFY,zwischen Juni und August
ACCEPT,ja wunderbar
REQUEST_CLARIFY,ach das war die nach Hannover richtig
FEEDBACK_POSITIVE,genau
CLARIFY,zwischen Juni und August
ACCEPT,ja wunderbar
ACCEPT,ja
FEEDBACK_POSITIVE,genau
CLARIFY,zwischen Juni und August
ACCEPT,ja wunderbar
ACCEPT,ja
INFORM,<häs> zwischen Juni und August ich meine August ist ja erfahrungsgemäß die Urlaubszeit
CLARIFY,zwischen Juni und August
ACCEPT,ja wunderbar
ACCEPT,ja
INFORM,<häs> zwischen Juni und August ich meine August ist ja erfahrungsgemäß die Urlaubszeit
EXCLUDE,<ähm> deswegen würde ich den August am liebsten ausschließen
ACCEPT,ja wunderbar
ACCEPT,ja
INFORM,<häs> zwischen Juni und August ich meine August ist ja erfahrungsgemäß die Urlaubszeit
EXCLUDE,<ähm> deswegen würde ich den August am liebsten ausschließen
BACKCHANNEL,mhm
ACCEPT,ja
INFORM,<häs> zwischen Juni und August ich meine August ist ja erfahrungsgemäß die Urlaubszeit
EXCLUDE,<ähm> deswegen würde ich den August am liebsten ausschließen
BACKCHANNEL,mhm
EXCLUDE,ich bin den ganzen Juni nicht da muß ich sagen
INFORM,<häs> zwischen Juni und August ich meine August ist ja erfahrungsgemäß die Urlaubszeit
EXCLUDE,<ähm> deswegen würde ich den August am liebsten ausschließen
BACKCHANNEL,mhm
EXCLUDE,ich bin den ganzen Juni nicht da muß ich sagen
NOT_CLASSIFIABLE,also
EXCLUDE,<ähm> deswegen würde ich den August am liebsten ausschließen
